É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2015/06/12 11:53:37

,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR
2014/5/4,12.4,8,1,18.7,8,1,9.0,8,1,10.5,0,8,1,8.0,0,8,1,7.9,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.6,8,1,5.6,8,ìåìÏìå,8,1,9.5,8,ìÏ,8,1,ìÏ,8,1,7.7,8,1,54,8,1,5,8,1,888.6,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/5/5,7.6,8,1,11.0,8,1,3.2,8,1,9.5,0,8,1,7.0,0,8,1,1.8,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.2,8,1,6.4,8,êºìÏêº,8,1,10.8,8,êºìÏêº,8,1,ìÏìÏêº,8,1,9.4,8,1,89,8,1,62,8,1,887.1,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/5/6,7.4,8,1,13.1,8,1,2.2,8,1,0,1,8,1,0,1,8,1,11.1,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.5,8,1,8.4,8,ñk,8,1,11.5,8,ñk,8,1,ñk,8,1,5.0,8,1,48,8,1,35,8,1,888.2,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/5/7,11.4,8,1,19.1,8,1,4.1,8,1,0,1,8,1,0,1,8,1,11.8,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.3,8,1,6.7,8,êº,8,1,11.5,8,ìÏìÏìå,8,1,ìÏìÏìå,8,1,6.0,8,1,46,8,1,6,8,1,888.0,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/5/8,11.9,8,1,18.7,8,1,6.9,8,1,0.0,0,8,1,0.0,0,8,1,7.2,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.2,8,1,7.4,8,ìÏêº,8,1,13.0,8,êºìÏêº,8,1,ìÏêº,8,1,10.9,8,1,79,8,1,39,8,1,885.8,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/5/9,13.3,8,1,20.1,8,1,9.3,8,1,0.0,0,8,1,0.0,0,8,1,10.6,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.7,8,1,6.3,8,êºìÏêº,8,1,10.4,8,êºìÏêº,8,1,êºìÏêº,8,1,10.0,8,1,66,8,1,34,8,1,888.1,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/5/10,14.1,8,1,20.9,8,1,7.1,8,1,0,1,8,1,0,1,8,1,11.3,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.1,8,1,5.9,8,ìåñkìå,8,1,8.5,8,ìåñkìå,8,1,ñkñkìå,8,1,5.1,8,1,32,8,1,13,8,1,890.7,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/5/11,13.0,8,1,18.0,8,1,10.6,8,1,0.0,0,8,1,0.0,0,8,1,11.5,0,8,1,,0,1,0,1,8,1,0,1,8,1,7.4,8,1,12.3,8,ìÏìå,8,1,20.0,8,ìÏìÏìå,8,1,ìÏìÏìå,8,1,9.2,8,1,61,8,1,25,8,1,889.6,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/5/12,12.6,8,1,16.0,8,1,8.8,8,1,56.5,0,8,1,13.0,0,8,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,7.1,8,1,13.6,8,ìÏìå,8,1,22.7,8,ìÏìå,8,1,ìÏìÏìå,8,1,14.1,8,1,95,8,1,57,8,1,883.8,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/5/13,15.0,8,1,21.1,8,1,8.0,8,1,0,1,8,1,0,1,8,1,11.9,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.5,8,1,9.3,8,ñkñkêº,8,1,13.8,8,ñkñkêº,8,1,ñkñkêº,8,1,9.2,8,1,54,8,1,31,8,1,883.8,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/5/14,14.3,8,1,17.7,8,1,11.6,8,1,54.0,0,8,1,20.0,0,8,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.7,8,1,9.4,8,ìÏìå,8,1,15.5,8,ìÏìå,8,1,ìÏìå,8,1,10.8,8,1,69,8,1,16,8,1,877.2,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/5/15,12.5,8,1,15.2,8,1,9.5,8,1,19.0,0,8,1,4.0,0,8,1,1.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,5.2,8,1,8.4,8,ìÏêº,8,1,15.8,8,ìÏêº,8,1,êºñkêº,8,1,14.4,8,1,99,8,1,87,8,1,874.4,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/5/16,13.6,8,1,20.2,8,1,9.3,8,1,0,1,8,1,0,1,8,1,12.4,0,8,1,,0,1,0,1,8,1,0,1,8,1,5.5,8,1,10.6,8,ñkñkêº,8,1,15.7,8,ñkñkêº,8,1,ñkêº,8,1,8.5,8,1,55,8,1,33,8,1,882.6,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/5/17,15.0,8,1,19.4,8,1,10.4,8,1,0,1,8,1,0,1,8,1,1.2,0,8,1,,0,1,0,1,8,1,0,1,8,1,2.7,8,1,6.5,8,ñkêº,8,1,10.8,8,êºñkêº,8,1,ñkêº,8,1,5.1,8,1,31,8,1,12,8,1,886.1,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/5/18,14.9,8,1,20.0,8,1,10.8,8,1,0,1,8,1,0,1,8,1,6.6,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.6,8,1,6.3,8,ìÏìÏêº,8,1,10.4,8,ìÏ,8,1,ìÏìå,8,1,6.4,8,1,39,8,1,17,8,1,886.5,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/5/19,12.2,8,1,15.8,8,1,9.7,8,1,10.0,0,8,1,6.0,0,8,1,4.9,0,8,1,,0,1,0,1,8,1,0,1,8,1,5.3,8,1,8.9,8,ìÏìå,8,1,13.6,8,ìÏìå,8,1,ìÏìå,8,1,12.1,8,1,85,8,1,55,8,1,885.9,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/5/20,12.4,8,1,15.3,8,1,9.8,8,1,55.0,0,8,1,9.5,0,8,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,6.6,8,1,11.8,8,ìÏìå,8,1,17.8,8,ìÏìå,8,1,ìÏìå,8,1,14.2,8,1,98,8,1,83,8,1,877.8,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/5/21,12.1,8,1,17.8,8,1,9.0,8,1,4.0,0,8,1,4.0,0,8,1,4.4,0,8,1,,0,1,0,1,8,1,0,1,8,1,7.1,8,1,13.5,8,ñkñkìå,8,1,19.3,8,ñkñkìå,8,1,êº,8,1,13.2,8,1,93,8,1,74,8,1,878.8,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/5/22,14.1,8,1,19.6,8,1,9.3,8,1,0,1,8,1,0,1,8,1,10.9,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.0,8,1,6.0,8,ñk,8,1,10.3,8,ñkêº,8,1,ñk,8,1,11.5,8,1,72,8,1,45,8,1,885.2,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/5/23,15.7,8,1,21.9,8,1,10.9,8,1,0,1,8,1,0,1,8,1,12.5,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.6,8,1,7.0,8,ñk,8,1,10.5,8,ñk,8,1,ñkñkìå,8,1,9.8,8,1,56,8,1,33,8,1,890.5,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/5/24,15.9,8,1,23.3,8,1,9.9,8,1,0,1,8,1,0,1,8,1,8.9,0,8,1,,0,1,0,1,8,1,0,1,8,1,2.5,8,1,6.1,8,êº,8,1,8.8,8,êº,8,1,êº,8,1,12.7,8,1,72,8,1,43,8,1,891.9,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/5/25,15.3,8,1,20.3,8,1,11.0,8,1,0.0,0,8,1,0.0,0,8,1,6.6,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.5,8,1,6.2,8,êº,8,1,8.8,8,êºìÏêº,8,1,ìÏ,8,1,13.9,8,1,80,8,1,42,8,1,888.0,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/5/26,14.3,8,1,16.9,8,1,10.0,8,1,7.5,0,8,1,3.5,0,8,1,0.9,0,8,1,,0,1,0,1,8,1,0,1,8,1,5.0,8,1,7.5,8,ìÏ,8,1,13.2,8,ìÏìÏêº,8,1,ìÏ,8,1,15.4,8,1,94,8,1,65,8,1,880.3,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/5/27,14.8,8,1,20.3,8,1,9.0,8,1,0,1,8,1,0,1,8,1,8.3,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.7,8,1,7.7,8,êº,8,1,10.1,8,êºìÏêº,8,1,êº,8,1,8.1,8,1,49,8,1,16,8,1,880.5,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/5/28,16.2,8,1,22.5,8,1,12.2,8,1,0.5,0,8,1,0.5,0,8,1,10.7,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.3,8,1,7.6,8,êº,8,1,12.6,8,êº,8,1,êºìÏêº,8,1,7.6,8,1,42,8,1,20,8,1,880.7,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/5/29,18.3,8,1,25.3,8,1,12.0,8,1,0,1,8,1,0,1,8,1,11.3,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.4,8,1,7.5,8,ìÏêº,8,1,13.3,8,ìÏìÏêº,8,1,ìÏêº,8,1,12.8,8,1,64,8,1,26,8,1,883.2,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/5/30,19.9,8,1,25.5,8,1,14.7,8,1,0,1,8,1,0,1,8,1,12.5,0,8,1,,0,1,0,1,8,1,0,1,8,1,2.5,8,1,5.5,8,êºñkêº,8,1,8.1,8,êº,8,1,êºñkêº,8,1,10.2,8,1,45,8,1,22,8,1,886.6,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/5/31,20.0,8,1,26.6,8,1,14.8,8,1,0,1,8,1,0,1,8,1,12.8,0,8,1,,0,1,0,1,8,1,0,1,8,1,2.2,8,1,5.8,8,ñk,8,1,9.6,8,ñkìå,8,1,ñkìå,8,1,11.4,8,1,51,8,1,16,8,1,888.7,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/6/1,20.5,8,1,25.4,8,1,15.9,8,1,0,1,8,1,0,1,8,1,10.6,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.5,8,1,7.5,8,ìÏìå,8,1,10.4,8,ìÏìå,8,1,ìÏìå,8,1,11.2,8,1,47,8,1,21,8,1,888.3,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/6/2,14.6,8,1,18.1,8,1,11.4,8,1,11.5,0,8,1,3.5,0,8,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,9.5,8,1,16.4,8,ìÏìÏìå,8,1,26.1,8,ìÏìå,8,1,ìÏìå,8,1,11.4,8,1,70,8,1,39,8,1,884.0,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/6/3,13.3,8,1,15.2,8,1,11.5,8,1,7.5,0,8,1,5.0,0,8,1,0.2,0,8,1,,0,1,0,1,8,1,0,1,8,1,9.6,8,1,13.9,8,ìÏìå,8,1,22.0,8,ìÏìå,8,1,ìÏìå,8,1,14.5,8,1,95,8,1,86,8,1,881.0,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/6/4,15.2,8,1,17.4,8,1,13.2,8,1,44.5,0,8,1,13.0,0,8,1,0.2,0,8,1,,0,1,0,1,8,1,0,1,8,1,9.3,8,1,16.7,8,ìåñkìå,8,1,25.1,8,ìåñkìå,8,1,ìå,8,1,15.6,8,1,91,8,1,81,8,1,876.8,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/6/5,14.3,8,1,17.0,8,1,12.6,8,1,0,1,8,1,0,1,8,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,2.4,8,1,5.1,8,ìÏìÏìå,8,1,7.9,8,ìå,8,1,ñk,8,1,16.1,8,1,98,8,1,87,8,1,875.8,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/6/6,14.9,8,1,19.6,8,1,13.2,8,1,0.5,0,8,1,0.5,0,8,1,1.1,0,8,1,,0,1,0,1,8,1,0,1,8,1,2.7,8,1,4.6,8,ñkñkêº,8,1,6.4,8,ñkñkêº,8,1,ñk,8,1,16.2,8,1,96,8,1,73,8,1,877.4,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/6/7,15.4,8,1,19.7,8,1,12.0,8,1,10.5,0,8,1,8.5,0,8,1,0.9,0,8,1,,0,1,0,1,8,1,0,1,8,1,2.1,8,1,4.5,8,êº,8,1,6.0,8,êº,8,1,ñkñkìå,8,1,16.8,8,1,96,8,1,79,8,1,878.8,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/6/8,16.7,8,1,22.4,8,1,13.7,8,1,1.0,0,8,1,1.0,0,8,1,2.6,0,8,1,,0,1,0,1,8,1,0,1,8,1,2.1,8,1,4.9,8,êºñkêº,8,1,6.8,8,êº,8,1,ìÏ,8,1,17.7,8,1,93,8,1,70,8,1,880.9,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/6/9,17.3,8,1,21.7,8,1,14.2,8,1,0,1,8,1,0,1,8,1,4.5,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.4,8,1,5.8,8,ìÏìÏêº,8,1,9.3,8,ìÏìå,8,1,ìÏìå,8,1,17.7,8,1,90,8,1,72,8,1,884.0,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/6/10,15.6,8,1,18.1,8,1,14.0,8,1,7.0,0,8,1,1.5,0,8,1,0.3,0,8,1,,0,1,0,1,8,1,0,1,8,1,6.2,8,1,10.8,8,ìÏìå,8,1,16.4,8,ìÏìå,8,1,ìÏìå,8,1,16.3,8,1,92,8,1,82,8,1,883.6,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/6/11,15.4,8,1,19.7,8,1,13.3,8,1,1.5,0,8,1,1.0,0,8,1,0.6,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.5,8,1,8.7,8,ìÏìÏìå,8,1,14.0,8,ìÏìÏìå,8,1,ñkñkìå,8,1,17.2,8,1,98,8,1,83,8,1,878.6,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/6/12,14.7,8,1,19.2,8,1,11.5,8,1,5.0,0,8,1,5.0,0,8,1,3.4,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.7,8,1,7.0,8,êºñkêº,8,1,9.8,8,êº,8,1,êºñkêº,8,1,15.9,8,1,95,8,1,71,8,1,875.4,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/6/13,13.1,8,1,17.3,8,1,10.6,8,1,0.0,0,8,1,0.0,0,8,1,1.3,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.3,8,1,6.9,8,êºìÏêº,8,1,11.6,8,êº,8,1,êº,8,1,13.9,8,1,93,8,1,74,8,1,879.9,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/6/14,14.2,8,1,18.3,8,1,11.6,8,1,0,1,8,1,0,1,8,1,1.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.4,8,1,7.6,8,êº,8,1,11.6,8,ìÏêº,8,1,êº,8,1,14.7,8,1,91,8,1,73,8,1,883.2,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/6/15,14.1,8,1,18.1,8,1,12.0,8,1,0,1,8,1,0,1,8,1,1.4,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.9,8,1,6.6,8,êºìÏêº,8,1,10.7,8,êºìÏêº,8,1,êºìÏêº,8,1,14.6,8,1,91,8,1,72,8,1,882.6,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/6/16,15.5,8,1,21.2,8,1,12.4,8,1,0.0,0,8,1,0.0,0,8,1,3.8,0,8,1,,0,1,0,1,8,1,0,1,8,1,2.5,8,1,5.3,8,êº,8,1,7.6,8,êº,8,1,êº,8,1,14.0,8,1,81,8,1,49,8,1,881.6,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/6/17,13.0,8,1,15.4,8,1,10.6,8,1,83.5,0,8,1,16.0,0,8,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,5.4,8,1,12.0,8,ìÏìå,8,1,18.8,8,ìÏìå,8,1,ìÏìå,8,1,13.4,8,1,90,8,1,57,8,1,879.8,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/6/18,14.6,8,1,16.0,8,1,13.0,8,1,53.0,0,8,1,12.0,0,8,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.2,8,1,10.6,8,ìÏìå,8,1,15.7,8,ìÏìå,8,1,ìÏìå,8,1,16.2,8,1,98,8,1,95,8,1,876.3,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/6/19,16.1,8,1,20.3,8,1,14.1,8,1,3.5,0,8,1,1.5,0,8,1,0.9,0,8,1,,0,1,0,1,8,1,0,1,8,1,2.2,8,1,4.6,8,ìÏìå,8,1,8.3,8,ìåìÏìå,8,1,ìÏìÏêº,8,1,17.7,8,1,97,8,1,83,8,1,881.0,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/6/20,17.1,8,1,20.9,8,1,14.6,8,1,2.0,0,8,1,1.0,0,8,1,2.6,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.1,8,1,6.9,8,ìÏìå,8,1,12.1,8,ìåìÏìå,8,1,ìÏìå,8,1,17.4,8,1,90,8,1,70,8,1,883.8,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/6/21,15.9,8,1,17.2,8,1,14.2,8,1,79.5,0,8,1,14.5,0,8,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,6.2,8,1,9.5,8,ìÏìå,8,1,15.1,8,ìÏìå,8,1,ìÏìå,8,1,17.6,8,1,97,8,1,91,8,1,880.9,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/6/22,15.6,8,1,18.7,8,1,13.9,8,1,58.0,0,8,1,18.0,0,8,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.3,8,1,9.2,8,ñkìå,8,1,18.2,8,ìÏêº,8,1,ñkìå,8,1,17.4,8,1,99,8,1,90,8,1,879.5,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/6/23,15.8,8,1,18.9,8,1,13.1,8,1,1.0,0,8,1,1.0,0,8,1,0.2,0,8,1,,0,1,0,1,8,1,0,1,8,1,2.6,8,1,6.0,8,êºìÏêº,8,1,9.4,8,ìÏìÏêº,8,1,ñk,8,1,17.2,8,1,95,8,1,83,8,1,881.0,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/6/24,15.6,8,1,21.0,8,1,12.7,8,1,7.5,0,8,1,4.5,0,8,1,5.6,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.8,8,1,6.9,8,êºìÏêº,8,1,12.0,8,êº,8,1,êº,8,1,16.4,8,1,93,8,1,67,8,1,882.1,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/6/25,16.5,8,1,20.6,8,1,12.9,8,1,0,1,8,1,0,1,8,1,0.5,0,8,1,,0,1,0,1,8,1,0,1,8,1,1.9,8,1,4.9,8,ìÏ,8,1,7.1,8,ìÏ,8,1,ìÏ,8,1,16.5,8,1,88,8,1,63,8,1,883.8,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/6/26,15.0,8,1,17.4,8,1,13.4,8,1,17.0,0,8,1,3.0,0,8,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,5.1,8,1,10.5,8,ìÏìå,8,1,15.2,8,ìÏìå,8,1,ìÏìå,8,1,16.5,8,1,96,8,1,82,8,1,883.0,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/6/27,16.0,8,1,17.3,8,1,14.3,8,1,66.0,0,8,1,12.0,0,8,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,6.3,8,1,9.3,8,ìÏìå,8,1,14.9,8,ìÏìå,8,1,ìÏìÏìå,8,1,18.0,8,1,99,8,1,97,8,1,879.7,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/6/28,17.1,8,1,19.9,8,1,14.5,8,1,4.0,0,8,1,1.0,0,8,1,0.7,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.2,8,1,6.1,8,êºìÏêº,8,1,10.4,8,êºìÏêº,8,1,êº,8,1,19.2,8,1,99,8,1,90,8,1,879.1,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/6/29,16.5,8,1,21.8,8,1,13.8,8,1,0,1,8,1,0,1,8,1,5.8,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.2,8,1,8.0,8,êºìÏêº,8,1,11.8,8,êºìÏêº,8,1,êº,8,1,16.6,8,1,89,8,1,70,8,1,882.3,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/6/30,16.4,8,1,19.8,8,1,13.9,8,1,0.0,0,8,1,0.0,0,8,1,4.2,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.3,8,1,5.9,8,ìÏêº,8,1,11.0,8,êº,8,1,êºìÏêº,8,1,13.3,8,1,72,8,1,53,8,1,884.8,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/7/1,17.5,8,1,24.5,8,1,13.8,8,1,0,1,8,1,0,1,8,1,4.8,0,8,1,,0,1,0,1,8,1,0,1,8,1,2.6,8,1,6.1,8,êº,8,1,9.2,8,êºìÏêº,8,1,êº,8,1,17.5,8,1,88,8,1,62,8,1,886.1,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/7/2,16.7,8,1,19.1,8,1,15.0,8,1,8.0,0,8,1,2.0,0,8,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.7,8,1,9.1,8,ìÏìÏìå,8,1,12.7,8,ìÏìå,8,1,ìÏìå,8,1,17.6,8,1,93,8,1,81,8,1,884.2,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/7/3,17.6,8,1,19.3,8,1,15.6,8,1,114.0,0,8,1,59.5,0,8,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,7.2,8,1,13.5,8,ìÏêº,8,1,24.7,8,ìÏìÏêº,8,1,ìÏêº,8,1,20.2,8,1,100,8,1,99,8,1,879.0,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/7/4,15.8,8,1,16.9,8,1,14.8,8,1,5.5,0,8,1,1.0,0,8,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,5.1,8,1,9.8,8,ìÏêº,8,1,16.9,8,êºìÏêº,8,1,êºìÏêº,8,1,18.0,8,1,100,8,1,100,8,1,881.0,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/7/5,16.5,8,1,20.0,8,1,12.8,8,1,0,1,8,1,0.0,0,8,1,1.1,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.6,8,1,6.7,8,ñkñkìå,8,1,9.3,8,ñkñkìå,8,1,ñk,8,1,17.4,8,1,93,8,1,76,8,1,884.4,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/7/6,17.2,8,1,18.7,8,1,15.8,8,1,67.5,0,8,1,17.0,0,8,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.9,8,1,10.2,8,ìÏìå,8,1,15.3,8,ìÏìÏìå,8,1,ìÏìå,8,1,18.3,8,1,93,8,1,70,8,1,883.7,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/7/7,20.3,8,1,24.0,8,1,17.7,8,1,30.0,0,8,1,6.5,0,8,1,1.2,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.7,8,1,7.5,8,ìÏìÏêº,8,1,12.8,8,ìÏìå,8,1,ìÏ,8,1,22.9,8,1,96,8,1,82,8,1,884.0,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/7/8,22.2,8,1,26.3,8,1,19.8,8,1,0,1,8,1,0,1,8,1,8.6,0,8,1,,0,1,0,1,8,1,0,1,8,1,5.7,8,1,9.5,8,ìÏìå,8,1,14.1,8,ìÏìå,8,1,ìÏìå,8,1,23.8,8,1,89,8,1,72,8,1,885.8,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/7/9,19.8,8,1,21.4,8,1,18.8,8,1,40.5,0,8,1,13.0,0,8,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,8.0,8,1,12.8,8,ìÏ,8,1,21.4,8,ìÏìå,8,1,ìÏìÏìå,8,1,22.8,8,1,99,8,1,92,8,1,878.4,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/7/10,19.0,8,1,20.7,8,1,17.6,8,1,22.0,0,8,1,5.0,0,8,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,7.5,8,1,11.6,8,êºñkêº,8,1,20.3,8,ìåìÏìå,8,1,êºñkêº,8,1,22.0,8,1,100,8,1,99,8,1,870.4,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/7/11,17.4,8,1,22.4,8,1,14.4,8,1,0.5,0,8,1,0.5,0,8,1,2.8,0,8,1,,0,1,0,1,8,1,0,1,8,1,5.0,8,1,8.2,8,êºìÏêº,8,1,15.0,8,êºìÏêº,8,1,êº,8,1,18.1,8,1,91,8,1,50,8,1,879.3,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/7/12,19.6,8,1,24.5,8,1,14.2,8,1,29.5,0,8,1,19.5,0,8,1,1.6,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.8,8,1,10.4,8,ìÏêº,8,1,19.1,8,ìÏìÏêº,8,1,ìÏ,8,1,16.3,8,1,73,8,1,37,8,1,883.0,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/7/13,19.8,8,1,20.6,8,1,18.4,8,1,31.5,0,8,1,7.0,0,8,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,9.4,8,1,15.7,8,ìÏêº,8,1,30.8,8,ìÏêº,8,1,ìÏêº,8,1,23.2,8,1,100,8,1,100,8,1,881.8,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
